,0
0,2000
1,2000
2,2000
3,2000
4,2000
5,2000
6,2000
7,2000
8,2000
9,2000
10,2000
11,2000
12,2000
13,2000
14,2000
15,2000
16,2000
17,2000
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,2000
33,2000
34,2000
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,2000
42,2000
43,951
44,2000
45,2000
46,2000
47,748
48,2000
49,1205
50,618
51,1108
52,636
53,976
54,1096
55,481
56,761
57,582
58,445
59,366
60,603
61,637
62,429
63,309
64,800
65,348
66,680
67,502
68,510
69,480
70,417
71,249
72,421
73,329
74,455
75,541
76,335
77,348
78,679
79,400
80,319
81,348
82,237
83,268
84,234
85,269
86,201
87,231
88,187
89,459
90,280
91,376
92,198
93,652
94,381
95,310
96,200
97,402
98,457
99,265
100,228
101,228
102,332
103,274
104,353
105,344
106,229
107,218
108,376
109,415
110,206
111,282
112,277
113,331
114,340
115,338
116,370
117,402
118,383
119,357
120,348
121,374
122,248
123,328
124,265
125,214
126,231
127,310
128,241
129,241
130,218
131,306
132,197
133,220
134,196
135,157
136,233
137,181
138,185
139,209
140,176
141,169
142,208
143,166
144,243
145,161
146,171
147,242
148,201
149,175
150,168
151,262
152,170
153,201
154,245
155,199
156,384
157,169
158,265
159,177
160,167
161,183
162,360
163,228
164,253
165,162
166,173
167,219
168,189
169,168
170,191
171,289
172,182
173,184
174,207
175,184
176,181
177,165
178,121
179,167
180,170
181,184
182,174
183,164
184,112
185,229
186,200
187,220
188,229
189,228
190,125
191,212
192,212
193,182
194,155
195,179
196,158
197,173
198,179
199,168
200,201
201,171
202,198
203,173
204,145
205,127
206,146
207,112
208,141
209,151
210,143
211,183
212,147
213,175
214,200
215,153
216,146
217,150
218,152
219,160
220,150
221,154
222,152
223,159
224,157
225,194
226,148
227,208
228,184
229,161
230,112
231,178
232,159
233,147
234,195
235,133
236,159
237,115
238,217
239,137
240,158
241,134
242,165
243,180
244,152
245,164
246,212
247,123
248,133
249,218
250,217
251,159
252,133
253,140
254,129
255,125
256,123
257,162
258,234
259,199
260,132
261,130
262,129
263,220
264,227
265,124
266,121
267,124
268,207
269,117
270,127
271,182
272,193
273,190
274,113
275,111
276,127
277,159
278,113
279,117
280,170
281,184
282,174
283,175
284,171
285,117
286,170
287,115
288,171
289,138
290,142
291,123
292,117
293,145
294,121
295,110
296,114
297,170
298,179
299,115
300,154
301,187
302,110
303,150
304,115
305,121
306,141
307,210
308,137
309,116
310,141
311,121
312,161
313,142
314,113
315,107
316,113
317,138
318,186
319,106
320,140
321,116
322,148
323,110
324,175
325,179
326,114
327,113
328,114
329,142
330,114
331,148
332,115
333,111
334,122
335,193
336,140
337,172
338,142
339,141
340,149
341,119
342,120
343,113
344,142
345,139
346,139
347,138
348,182
349,147
350,144
351,145
352,112
353,172
354,194
355,119
356,151
357,120
358,111
359,113
360,116
361,142
362,172
363,110
364,139
365,104
366,118
367,112
368,175
369,121
370,114
371,115
372,164
373,144
374,193
375,115
376,112
377,151
378,156
379,115
380,189
381,140
382,146
383,111
384,113
385,105
386,112
387,149
388,143
389,139
390,144
391,146
392,142
393,166
394,112
395,110
396,112
397,114
398,179
399,112
