,0
0,0
1,20
2,40
3,60
4,80
5,100
6,120
7,140
8,160
9,180
10,200
11,220
12,240
13,260
14,280
15,300
16,320
17,340
18,360
19,380
20,400
21,420
22,440
23,460
24,480
25,500
26,520
27,540
28,560
29,580
30,600
31,620
32,640
33,660
34,680
35,700
36,720
37,740
38,760
39,780
40,800
41,820
42,840
43,860
44,880
45,900
46,920
47,940
48,960
49,980
50,1000
51,1020
52,1040
53,1060
54,1080
55,1100
56,1120
57,1140
58,1160
59,1180
60,1200
61,1220
62,1240
63,1260
64,1280
65,1300
66,1320
67,1340
68,1360
69,1380
70,1400
71,1420
72,1440
73,1460
74,1480
75,1500
76,1520
77,1540
78,1560
79,1580
80,1600
81,1620
82,1640
83,1660
84,1680
85,1700
86,1720
87,1740
88,1760
89,1780
90,1800
91,1820
92,1840
93,1860
94,1880
95,1900
96,1920
97,1940
98,1960
99,1980
